this is more difficult|to jest trudniejsze
что еще должно произойти, чтобы мы серьезно начали разрушать барьеры на|co jeszcze musi się stać, byśmy na poważnie wzięli się za znoszenie barier...
подчеркнула, что иностранцы необходимы|podkreśliła, że cudzoziemcy są niezbędni
он сделает еще хуже|on tylko pogorszy sprawę
он сделает еще лучше|poradzi sobie jeszcze lepiej
it's difficult to stop|trudno jest się zatrzymać
some day you will win|pewnego dnia wygrasz
i wanted to show you|chciałem ci pokazać
spaced repetition|powtarzanie w odstępach
phrases|frazesy
ambiguous answers|niejednoznaczne odpowiedzi
and most importantly|i co najważniejsze
much better|dużo lepiej
much worse|dużo gorzej
никому об этом не рассказывать ни при каких обстоятельствах|żebym pod żadnym pozorem nie mówił nikomu
i forgot|zapomniałem
я вспомнил о тебе|pamiętałem o tobie
where are you going|dokąd idziesz
he is younger than you|on jest młodszy od ciebie
it is so obvious in hindsight|z perspektywy czasu jest to takie oczywiste
i have a habit|mam zwyczaj
i don't agree|nie zgadzam się
