Это вмешательство.|To jest interwencja.
А кто не пьёт, тот докладывает.|A kto nie pije еen donosi.
Наша экономика основана на том, что мы экспортируем зерно на Запад и импортируем предметы роскоши.|Nasza gospodarka opiera się na tym, że eksportujemy zboże na zachód, a dobra luksusowe sprowadzamy.
В результате нам не нужно развивать технологию.|Dzięki temu nie musimy rozwijać technologii.
Вот что они говорят о нас.|Tak o nas mówią.
Куда это ты собралась? - У меня есть свои дела.|Dokąd idziesz? - Mam swoje sprawy.
Только не ходи в лес, а то швед отведет тебя в мешок.|Tylko nie idź do lasu, bo cię Szwed do wora zabierze.
Позади остались годы неурожаев, болезней и войн.|Za nami lata nieurodzaju, chorób i wojen.
Поэтому нужно радоваться тому, что...|Dlatego trzeba się cieszyć z tego, co...
Убирайтесь из нашей истории!|Won z naszej historii!
По какой-то причине крестьяне Andrzeja получают более высокие выплаты, чем мои.|Z jakiegoś powodu chłopi Andrzeja uzyskują lepsze plony niż moi.
И этот мерзкий ублюдок никогда не скажет, почему.|A to wredne bydlę nigdy nie powie dlaczego.
Он просто плохой человек.|To po prostu jest zły człowiek.
Это всегда было гордостью района.|Ten zawsze był dumą okolicy.
И как только я взял его на себя, он вдруг стал работать хуже.|I akurat jak ja go przejąłem, to nagle zaczął działać gorzej.
Ну, вам, должно быть, не повезло.|No trzeba mieć pecha.
И тут внезапно появился Анджей.|Wtedy nagle pojawił się tu Andrzej.
Когда умерла моя любимая жена, я решил сменить обстановку.|Kiedy umarła moja ukochana żona, postanowiłem zmienić otoczenie.
И я искал место. А он решил переехать сюда.|I szukałem miejsca. I postanowił się tu przenieść.
И он воспользовался моей шестилетней слабостью, выкупив половину деревни.|I wykorzystał mój sześcioletni moment słabości, odkupując połowę wsi.
Большая половина.|Większą połowę.
Неважно.|Nieistotne.
В любом случае, размер не имеет значения.|Zresztą rozmiar się nie liczy.
Так говорят те, у кого маленькие деревни.|Tak mówią ci z małymi wsiami.
Но даже если она временно не принадлежит мне целиком.|Ale nawet jeśli chwilowo w całości nie należy do mnie.
И здесь, когда прозвенит последний звонок, я буду похоронен.|I tu, gdy zabije ostatni dzwon, zostanę pochowany.
За исключением сердца.|Za wyjątkiem serca.
Мы можем повесить всех дворян.|Moglibyśmy powiesić wszystkich szlachciców.
Я приспособлюсь.|Ja się dostosuję.
Сегодня я отправляюсь к холопам с заданием.|Wyruszam dzisiaj do chłopów z misją.
Изменения происходят на наших глазах.|Zmiany dzieją się na naszych oczach.
Мы должны действовать.|Musimy działać.
Нам нужно серьезно поговорить.|Musimy poważnie porozmawiać.
Из-за изменения климата жизнь людей на этой планете находится под серьезной угрозой.|Przez zmiany klimatyczne życie ludzi na tej planecie jest poważnie zagrożone.
Ну, я так и знал.|No wiedziałem.
Это было слишком хорошо.|Za dobrze było.
Звучит пугающе, не правда ли?|To faktycznie brzmi przerażająco, nie?
Сколько времени у нас есть?|Ile mamy czasu?
Через 380 лет изменения станут необратимыми.|Za 380 lat zmiany będą nieodwracalne.
Это может показаться далеким будущим, но чем раньше мы начнем...|To może brzmieć jak odległa przyszłość, ale im wcześniej zaczniemy...
Тридцать звучит ужасающе.|Trzydzieści brzmi przerażająco.
Тогда мы точно начнем действовать.|Wtedy na pewno byśmy zaczęli działać.
У каждого человека должны быть глаза вокруг головы.|Wszyscy mają mieć oczy dookoła głowy.
Нам нужно выяснить, почему наша ферма проигрывает.|Musimy odkryć, dlaczego nasz folwark przegrywa.
Холопов надо выжимать, как червяков.|Chłopów trzeba wycisnąć jak robaków.
У нас встреча.|Naradę mamy.
Жизнь проходит мимо вас.|Życie cię omija.
В конце дня я хочу услышать, что вы сделали сегодня.|Na koniec dnia chcę usłyszeć, co dziś zrobiłeś.
Это была слабая шутка, но не настолько.|To był słaby żart, ale nie aż tak słaby.
Ты на меня злишься?|Jesteś na mnie zła?
Здесь холодно!|Zimno tu!
Думаю, я ошибался насчет тебя.|Chyba się co do ciebie myliłam.
Вот список посещаемости на работе.|Oto lista obecności w pracy.
И это стоит повторить.|I to się powtarza.
Может, кто-то плохо смотрел, когда записывал?|Może ktoś źle spojrzał przy zapisywaniu?
Именно для таких ситуаций и была придумана эта поговорка.|Właśnie na taką sytuację wymyślono to powiedzenie.
Ну, я думаю, что это чушь.|No ale ja myślę, że to bujda.
Кто же заменит холопа?|No bo kto zastąpi chłopa?
Давай подумаем.|Zastanówmy się.
Кто освободит его от титанической задачи?|Kto wyręczy go w jego tytanicznej pracy?
Я всегда говорю что-то глупое.|Zawsze coś głupio palnę.
И меня еще не приглашали ни в один заговор.|A mnie jeszcze nikt do żadnego spisku nie zaprosił.
Или все евреи сговорились.|Albo wszyscy Żydzi spiskują.
Меня одного не приглашают.|Tylko mnie jednego nie zapraszają.
Потому что я глупый и не гожусь для этого.|No bo głupi jestem i się nie nadaję.
Вы очень проницательны.|Jesteś bardzo spostrzegawczy.
Мне кажется забавным, что люди рядом с известными людьми ведут себя по-разному.|Śmieszy mnie, jak ludzie przy znanych osobach zachowują się inaczej.
У меня здесь есть прозвище - Последний Самаритянин.|Mam tutaj taki przydomek – Ostatni Samarytanin.
В конце концов, он такой же человек, как и все остальные.|Przecież to człowiek jak każdy inny.
Я думал об этом.|Przemyślałem to.
Я следую вашему совету.|Idę za twoją radą.
Мы давим крестьян, как червей.|Dociskamy chłopów jak robaków.
Я этого не говорил.|Ja tak nie powiedziałem.
На вопрос, что делать с Гжегожем, вы ответили „бей его долго и сильно”.|Na pytanie, co zrobić z Grzegorzem, powiedziałeś, że „bij go długo i mocno”.
В конце концов, речь шла о том, чтобы победить его любовью.|Przecież chodziło o to żebyś go bił miłością.
Нет-нет, я пости уверен, что вы сказали "бей его цепью".|Nie no, jestem prawie pewien, że powiedziałeś, że „bij go cepem”.
Якуб заставил меня задуматься.|Jakub dał mi do myślenia.
До сих пор в отношении работников я использовал метод кнута и пряника.|Do tej pory wobec pracujących stosowałem metodę marchewki i kija.
Судьба ждет вас.|Los na was czyha.
Я бы хотел, чтобы мои холопы верили в себя.|Chciałbym, by moi chłopi uwierzyli w siebie.
Конечно, судьба кузнеца зависит от меня.|Oczywiście los kowala zależy ode mnie.
Как?|W jaki sposób?
Неужели нас ждет такая судьба?|Czy to jest ten los, co na nas czyha?
Отец Иаков приказал мне. Что он приказал тебе сделать?|Ksiądz Jakub mi kazał. Co ci kazał?
Чувствуйте себя как дома.|Czuć się jak w domu.
Что это должно быть?|Co to ma być?
Вы не поверите, это он.|Nie uwierzysz, to on.
У меня к вам одна просьба.|Mam do ciebie jedną prośbę.
Прошу прощения?|Słucham?
Пройдите по воде до середины пруда.|Idź po wodzie na środek stawu.
Навсегда.|Na zawsze.
Будешь свободным.|Będziesz wolny.
Это положительный аспект ситуации, но я так же вижу и минусы.|To jest pozytywny aspekt tej sytuacji, ale dostrzegam także minusy.
Что мне придется идти в середину пруда, а это невозможно.|Że mam wejść na środek stawu, co jest niemożliwe.
И ты не умеешь плавать.|I nie umiesz pływać.
Дает пищу для размышлений.|Daje do myślenia.
Он отдал письмо и тут же помчался.|Dał list i od razu popędził.
Мне придется жить под бременем этой лжи.|Będę musiał żyć z ciężarem kłamstwa.
Но самое главное, что я смог улучшить работу в поместье.|Ale najważniejsze, że udało mi się usprawnić prace w folwarku.
Убедить крестьян изменить свои привычки оказывается очень сложно.|Okazuje się, że przekonanie chłopów do zmiany nawyków jest bardzo trudne.
Люди не хотят отказываться даже от небольшого комфорта.|Ludzie nie chcą zrezygnować choćby z odrobiny komfortu.
Я хотел сказать, что переосмыслил свое отношение.|Chciałem ci powiedzieć, że przemyślałem swoją postawę.
Это самая странная история, которую я когда-либо слышал.|To najdziwniejsza historia, jaką kiedykolwiek słyszałam.
И в то же время это самая милая вещь, которую кто-либо когда-либо для меня делал.|I zarazem najsłodsza rzecz, jaką ktoś dla mnie zrobił.
Извинения приняты.|Przeprosiny przyjęte.
Это запах победы.|To zapach zwycięstwa.
Хотя, конечно, из этого ничего не выйдет.|Choć oczywiście do niczego nie dojdzie.
